date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,elo_home,elo_away,diferencia_elo,resultado,puntos_home,puntos_away,dif_goles_home,dif_goles_away,peso_torneo
1933-06-18,Sweden,Denmark,2.0,3.0,Nordic Championship,Stockholm,Sweden,False,1828.0,1728.0,100.0,A,0,3,-1.0,1.0,5
1933-07-02,Sweden,Hungary,5.0,2.0,Friendly,Stockholm,Sweden,False,1828.0,1929.0,-101.0,H,3,0,3.0,-3.0,1
1933-07-04,Latvia,Sweden,1.0,1.0,Friendly,Riga,Latvia,False,1358.0,1828.0,-470.0,D,1,1,0.0,0.0,1
1933-07-14,Sweden,Finland,2.0,0.0,Nordic Championship,Stockholm,Sweden,False,1828.0,1484.0,344.0,H,3,0,2.0,-2.0,5
1933-08-06,Yugoslavia,Czechoslovakia,2.0,1.0,Friendly,Zagreb,Yugoslavia,False,1653.0,1832.0,-179.0,H,3,0,1.0,-1.0,1
1933-08-09,Estonia,Latvia,2.0,1.0,Friendly,Tallinn,Estonia,False,1286.0,1358.0,-72.0,H,3,0,1.0,-1.0,1
1933-08-16,Finland,Estonia,2.0,1.0,Friendly,Helsinki,Finland,False,1484.0,1286.0,198.0,H,3,0,1.0,-1.0,1
1933-09-03,Estonia,Latvia,0.0,1.0,Baltic Cup,Kaunas,Lithuania,True,1286.0,1358.0,-72.0,A,0,3,-1.0,1.0,5
1933-09-03,Finland,Norway,1.0,5.0,Nordic Championship,Helsinki,Finland,False,1484.0,1569.0,-85.0,A,0,3,-4.0,4.0,5
1933-09-17,Hungary,Switzerland,3.0,0.0,Central European International Cup,Budapest,Hungary,False,1929.0,1543.0,386.0,H,3,0,3.0,-3.0,5
1933-09-24,Norway,Sweden,0.0,1.0,Nordic Championship,Oslo,Norway,False,1569.0,1828.0,-259.0,A,0,3,-1.0,1.0,5
1933-09-24,Yugoslavia,Switzerland,2.0,2.0,FIFA World Cup qualification,Belgrade,Yugoslavia,False,1653.0,1543.0,110.0,D,1,1,0.0,0.0,5
1933-10-04,Wales,Scotland,3.0,2.0,British Home Championship,Cardiff,Wales,False,1476.0,1991.0,-515.0,H,3,0,1.0,-1.0,5
1933-10-08,Aruba,Curaçao,1.0,3.0,Friendly,Oranjestad,Aruba,False,1291.0,1607.0,-316.0,A,0,3,-2.0,2.0,1
1933-10-08,Denmark,Finland,2.0,0.0,Nordic Championship,Copenhagen,Denmark,False,1728.0,1484.0,244.0,H,3,0,2.0,-2.0,5
1933-10-11,Aruba,Curaçao,0.0,2.0,Friendly,Oranjestad,Aruba,False,1291.0,1607.0,-316.0,A,0,3,-2.0,2.0,1
1933-10-22,Hungary,Italy,0.0,1.0,Central European International Cup,Budapest,Hungary,False,1929.0,1740.0,189.0,A,0,3,-1.0,1.0,5
1933-10-22,Germany,Belgium,8.0,1.0,Friendly,Duisburg,Germany,False,1667.0,1651.0,16.0,H,3,0,7.0,-7.0,1
1933-10-29,Switzerland,Romania,2.0,2.0,FIFA World Cup qualification,Bern,Switzerland,False,1543.0,1577.0,-34.0,D,1,1,0.0,0.0,5
1933-11-05,Germany,Norway,2.0,2.0,Friendly,Magdeburg,Germany,False,1667.0,1569.0,98.0,D,1,1,0.0,0.0,1
1933-11-15,England,Wales,1.0,2.0,British Home Championship,Newcastle,England,False,1950.0,1476.0,474.0,A,0,3,-1.0,1.0,5
1933-11-19,Switzerland,Germany,0.0,2.0,Friendly,Zürich,Switzerland,False,1543.0,1667.0,-124.0,A,0,3,-2.0,2.0,1
1933-11-26,Belgium,Denmark,2.0,2.0,Friendly,Brussels,Belgium,False,1651.0,1728.0,-77.0,D,1,1,0.0,0.0,1
1933-12-03,Italy,Switzerland,5.0,2.0,Central European International Cup,Florence,Italy,False,1740.0,1543.0,197.0,H,3,0,3.0,-3.0,5
1933-12-06,England,France,4.0,1.0,Friendly,London,England,False,1950.0,1599.0,351.0,H,3,0,3.0,-3.0,1
1933-12-14,Uruguay,Argentina,0.0,1.0,Friendly,Montevideo,Uruguay,False,1967.0,2071.0,-104.0,A,0,3,-1.0,1.0,1
1934-01-14,Germany,Hungary,3.0,1.0,Friendly,Frankfurt am Main,Germany,False,1667.0,1929.0,-262.0,H,3,0,2.0,-2.0,1
1934-01-21,Belgium,France,2.0,3.0,Friendly,Brussels,Belgium,False,1651.0,1599.0,52.0,A,0,3,-1.0,1.0,1
1934-03-11,France,Switzerland,0.0,1.0,Friendly,Paris,France,False,1599.0,1543.0,56.0,A,0,3,-1.0,1.0,1
1934-03-11,Luxembourg,Germany,1.0,9.0,FIFA World Cup qualification,Luxembourg,Luxembourg,False,1286.0,1667.0,-381.0,A,0,3,-8.0,8.0,5
1934-03-11,Netherlands,Belgium,9.0,3.0,Friendly,Amsterdam,Netherlands,False,1769.0,1651.0,118.0,H,3,0,6.0,-6.0,1
1934-03-18,Bulgaria,Yugoslavia,1.0,2.0,Friendly,Sofia,Bulgaria,False,1464.0,1653.0,-189.0,A,0,3,-1.0,1.0,1
1934-03-25,Bulgaria,Hungary,1.0,4.0,FIFA World Cup qualification,Sofia,Bulgaria,False,1464.0,1929.0,-465.0,A,0,3,-3.0,3.0,5
1934-03-25,France,Czechoslovakia,1.0,2.0,Friendly,Colombes,France,False,1599.0,1832.0,-233.0,A,0,3,-1.0,1.0,1
1934-03-25,Italy,Greece,4.0,0.0,FIFA World Cup qualification,Milan,Italy,False,1740.0,1273.0,467.0,H,3,0,4.0,-4.0,5
1934-04-01,Yugoslavia,Bulgaria,2.0,3.0,Friendly,Belgrade,Yugoslavia,False,1653.0,1464.0,189.0,A,0,3,-1.0,1.0,1
1934-04-14,England,Scotland,3.0,0.0,British Home Championship,London,England,False,1950.0,1991.0,-41.0,H,3,0,3.0,-3.0,5
